chunk_id,transcript_id,country,expert_name,expert_role,timestamp,question,speaker,answer,source_file
transcript_2_germany_0305,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,03:05,How important is surgeon training?,Anna Keller,"Very important operationally. If the hospital buys a system but only one surgeon is comfortable using it, utilisation will be poor. That weakens the business case.",Transcript_2_Germany.txt
transcript_2_germany_0409,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,04:09,Do you expect adoption to accelerate?,Anna Keller,"Yes, but I would not expect a dramatic jump. I think growth will be gradual, especially because many hospitals have other competing capital priorities.",Transcript_2_Germany.txt
transcript_2_germany_0508,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,05:08,Any rough expectation over the next three to five years?,Anna Keller,"I would expect continued growth, but probably closer to high single digits or low double digits in procedure volumes rather than something like 20 percent across the whole market.",Transcript_2_Germany.txt
transcript_2_germany_0605,transcript_2_germany,Germany,Anna Keller,Former Hospital Procurement Director,06:05,How long can the purchase process take?,Anna Keller,"Nine to eighteen months is common. Procurement, clinical leadership, finance and management all need to align, so it can move slowly.",Transcript_2_Germany.txt
transcript_3_uk_0014,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,00:14,How would you describe adoption in the UK?,Dr. Carter,"Adoption is increasing, and in some larger NHS trusts robotic surgery is becoming standard for selected procedures. But access still varies significantly by hospital.",Transcript_3_UK.txt
transcript_3_uk_0105,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,01:05,What are the main barriers?,Dr. Carter,"Funding is important, but I would say training capacity is just as important. You can buy a system, but if you cannot train enough surgeons and theatre staff, adoption stalls.",Transcript_3_UK.txt
transcript_3_uk_0207,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,02:07,How important is ROI?,Dr. Carter,"It matters, but the discussion is not always purely financial. Hospitals also consider patient outcomes, length of stay, surgeon recruitment and whether the technology improves their clinical position.",Transcript_3_UK.txt
transcript_3_uk_0310,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,03:10,So would you say economics are less important in the UK?,Dr. Carter,I would say economics and clinical strategy are balanced. I would not say finance alone decides the purchase.,Transcript_3_UK.txt
transcript_3_uk_0406,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,04:06,What is your outlook for the next three to five years?,Dr. Carter,I am quite positive. I think adoption could accelerate if training expands and systems become more cost competitive. I could see procedure growth above 15 percent annually in some areas.,Transcript_3_UK.txt
transcript_3_uk_0504,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,05:04,What about purchase timelines?,Dr. Carter,"Around six to nine months can happen if funding is already available. If the trust has to wait for a new capital cycle, it can take much longer.",Transcript_3_UK.txt
transcript_3_uk_0604,transcript_3_uk,United Kingdom,Dr. Emily Carter,Consultant Urologist,06:04,Any final thought?,Dr. Carter,The key point is that adoption is not just about buying the machine. Hospitals need enough trained people and enough procedure volume to make the programme sustainable.,Transcript_3_UK.txt
